IC9	-4.50	2.90	0.00	RT6160AWSC_RT6160AWSC	RT6160AWSC_BGA15C40P3X5_140X230X60
J1	-12.60	0.30	270.00	503480-2400_503480-2400	503480-2400_5034802400
J2	18.60	-1.82	270.00	TC2030-IDC_TC2030-IDC	TC2030-IDC_TC2030IDC
J3	-0.50	13.64	180.00	KH-TYPE-C-16P_KH-TYPE-C-16P	KH-TYPE-C-16P_KINGHELM_KH-TYPE-C-16P
L1	10.80	8.30	90.00	3.9nH	NORDIC_NRF_2_RESC0402_L
L2	6.70	-7.90	0.00	10µH	NORDIC_NRF_2_RESC0402_L
L3	10.80	-5.60	0.00	15nH	NORDIC_NRF_2_RESC0402_L
L5	-10.30	8.40	0.00	68uH	NORDIC_NRF_2_RESC0402_L
L7	-1.40	2.10	0.00	MLP2016SR47MT0S1_FTC252012SR47MBCA	MLP2016SR47MT0S1_INDC2016X100N
Q1	-7.40	10.35	0.00	20V/4.2A/52mΩ/1.4W	ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
Q3	-12.00	10.00	0.00	ESP32_C6_LIBRARY_6_SI1308EDL-T1-GE3	ESP32_C6_LIBRARY_6_SOT65P210X110-3N
R17	-3.00	-10.90	0.00	3K3	ERA-1AEB3401C_0201
R18	2.90	-11.40	0.00	3K3	ERA-1AEB3401C_0201
R1_EP_DR	-11.30	12.60	0.00	0.47	CPF0201D7K68C1_0201
R1_USB	-4.60	8.60	0.00	5k1	CPF0201D7K68C1_0201
R2	-4.80	0.20	180.00	0	ERA-1AEB3401C_0201
R2_EP_DR	-11.90	7.90	0.00	10k	CPF0201D7K68C1_0201
R2_USB	-3.70	9.30	0.00	5k1	CPF0201D7K68C1_0201
R3	-12.30	-11.40	0.00	0	CPF0201D7K68C1_0201
R4	-1.60	0.00	0.00	0	ERA-1AEB3401C_0201
R5	3.70	-4.00	90.00	10k	CPF0201D7K68C1_0201
R7	13.40	-5.40	90.00	10k	CPF0201D7K68C1_0201
R8	8.90	-8.50	0.00	10k	CPF0201D7K68C1_0201
R9	3.90	7.90	0.00	10K	CPF0201D7K68C1_0201
R_PWR_EPD	13.10	-2.80	0.00	10k	ERA-1AEB3401C_0201
R_TYPE_SEL	-10.70	-7.80	0.00	2.2	CPF0201D7K68C1_0201
SJ1	-13.50	-8.20	0.00		ESP32_C6_LIBRARY_7_JUMPER_SJ
SW_DN	0.00	-14.13	180.00	2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN	2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_ENT	11.00	-14.13	180.00	2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN	2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_UP	-10.70	-14.12	180.00	2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN	2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP_3.3V	6.10	12.40	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_3V3	9.30	11.60	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_BAT_GND	19.60	-13.90	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_GND	-16.30	9.50	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_ON	-5.20	-14.80	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_OP	-1.40	-9.30	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_RESET	-8.70	13.50	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SCL	4.90	-11.00	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SDA	7.40	-12.50	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SWDCLK	15.20	-9.30	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SWDIO	13.50	-7.80	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SWO	10.80	-9.50	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_VBAT	17.10	-15.20	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_VREG	6.10	15.00	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
U1	9.20	-0.50	0.00	NORDIC_NRF_4_NRF52840_QF	NORDIC_NRF_4_AQFN50P700X700X85_HS-74N
U3	19.80	-10.50	0.00	ESP32_C6_LIBRARY_MAX17048G+T10	ESP32_C6_LIBRARY_SON50P200X200X80-9N
X1	12.00	6.00	0.00	32MHz	NORDIC_NRF_BT-XTAL_2016_N
X2	2.60	-1.70	90.00	32.768kHz	XTAL330X1051X90N
